Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;08:15:00;21-01-2025;08:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.16;kWh;Validated
21-01-2025;08:30:00;21-01-2025;08:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;08:30:00;21-01-2025;08:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.127;kWh;Validated
21-01-2025;08:45:00;21-01-2025;09:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;08:45:00;21-01-2025;09:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.028;kWh;Validated
21-01-2025;09:00:00;21-01-2025;09:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;09:00:00;21-01-2025;09:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.022;kWh;Validated
21-01-2025;09:15:00;21-01-2025;09:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;09:15:00;21-01-2025;09:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.025;kWh;Validated
21-01-2025;09:30:00;21-01-2025;09:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;09:30:00;21-01-2025;09:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.019;kWh;Validated
21-01-2025;09:45:00;21-01-2025;10:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;09:45:00;21-01-2025;10:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.025;kWh;Validated
21-01-2025;10:00:00;21-01-2025;10:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;10:00:00;21-01-2025;10:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.031;kWh;Validated
21-01-2025;10:15:00;21-01-2025;10:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;10:15:00;21-01-2025;10:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.073;kWh;Validated
21-01-2025;10:30:00;21-01-2025;10:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;10:30:00;21-01-2025;10:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.037;kWh;Validated
21-01-2025;10:45:00;21-01-2025;11:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;10:45:00;21-01-2025;11:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.024;kWh;Validated
21-01-2025;11:00:00;21-01-2025;11:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;11:00:00;21-01-2025;11:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.02;kWh;Validated
21-01-2025;11:15:00;21-01-2025;11:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;11:15:00;21-01-2025;11:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.026;kWh;Validated
21-01-2025;11:30:00;21-01-2025;11:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;11:30:00;21-01-2025;11:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.02;kWh;Validated
21-01-2025;11:45:00;21-01-2025;12:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;11:45:00;21-01-2025;12:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.022;kWh;Validated
21-01-2025;12:00:00;21-01-2025;12:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;12:00:00;21-01-2025;12:15:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.188;kWh;Validated
21-01-2025;12:15:00;21-01-2025;12:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;12:15:00;21-01-2025;12:30:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.042;kWh;Validated
21-01-2025;12:30:00;21-01-2025;12:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
21-01-2025;12:30:00;21-01-2025;12:45:00;541448920709923278;1SAG3200021865;Digital meter;Peak offtake;0.038;kWh;Validated
21-01-2025;12:45:00;21-01-2025;13:00:00;541448920709923278;1SAG3200021865;Digital meter;Peak injection;0;kWh;Validated
